,id,location_name,lat,lon,max_speed,min_speed,average_speed
208,251,"Staten Island , Westerleigh",40.621215,-74.1318094,35.0,35.0,35.0
209,252,"Queens , Whitestone",40.7945457,-73.8184674,81.0,20.0,31.688708036622582
210,253,"Queens , Willets Point",40.796708,-73.779396,35.0,35.0,35.0
211,257,"Brooklyn , Windsor Terrace",40.65348695,-73.97719596197135,64.0,18.0,36.06156176835147
212,258,"Queens , Woodhaven",40.6892698,-73.8579131,35.0,35.0,35.0
213,259,"Bronx , Woodlawn/Wakefield",40.8937765,-73.8610822,81.0,18.0,38.378889420775494
214,260,"Queens , Woodside",40.7453798,-73.9054145,81.0,18.0,35.541337330789496
215,261,"Manhattan , World Trade Center",40.7119004,-74.012527,81.0,18.0,36.03231951234999
216,262,"Manhattan , Yorkville East",40.783311,-73.9448639,81.0,18.0,36.013212025316456
217,264,"Unknown , NV",39.2115779,-119.7325651,35.0,35.0,35.0
