,s,t,d,s
339,4,146,4.361145084746137,18.0
340,4,147,12.33276016729408,18.0
341,4,148,1.1871738818786641,18.0
342,4,149,13.024444888532793,26.5
343,4,150,16.827405216495936,26.5
344,4,151,8.362771642166999,18.0
345,4,152,10.3552366979781,18.0
346,4,153,17.791413428349962,18.0
347,4,156,18.020618648887236,26.5
348,4,157,5.645714983723999,18.0
349,4,158,2.7848541587409112,18.0
350,4,159,12.218969777639533,18.0
351,4,160,8.538569463272406,18.0
352,4,161,3.798032030716235,18.0
353,4,162,3.9068787133073606,18.0
354,4,163,4.453599633642931,18.0
355,4,164,2.778875514852338,18.0
356,4,165,11.870776799984103,19.0
357,4,166,9.549201080633116,18.0
358,4,167,12.42600610007221,18.0
359,4,168,10.143969706311122,18.0
360,4,169,15.490879822731362,18.0
361,4,170,2.5645824905854235,18.0
362,4,171,2.533623058533447,18.0
363,4,174,19.000355612819188,18.0
364,4,175,18.281813070542597,26.5
365,4,176,21.291989816688574,26.5
366,4,177,7.885494222412736,18.0
367,4,178,15.577076564138903,26.5
368,4,180,12.649450892181738,26.5
369,4,181,6.139271497994178,18.0
370,4,182,15.627963089088942,18.0
371,4,183,22.40584635076964,19.0
372,4,184,19.07395937581856,18.0
373,4,185,17.455080222205194,18.0
374,4,187,16.723852946889785,26.5
375,4,188,5.3081560305689,18.0
376,4,189,5.334757781792278,18.0
377,4,190,7.07806331817588,18.0
378,4,191,20.550384614325065,26.5
379,4,192,13.159609858152674,19.0
380,4,193,5.030725582860761,18.0
381,4,194,9.26464643719926,18.0
382,4,195,6.107848138174423,18.0
383,4,196,9.90329230953292,18.0
384,4,197,12.847404311278936,26.5
385,4,198,5.830033300102058,18.0
386,4,199,10.987392496587454,18.0
387,4,201,20.122196120692223,26.5
388,4,202,4.725023616898615,18.0
389,4,203,21.74720909038939,26.5
390,4,204,27.925756275136614,26.5
391,4,205,18.68649597253002,26.5
392,4,206,12.460796002757435,18.0
393,4,208,17.308487090269946,18.0
394,4,209,2.914445687802828,18.0
395,4,210,15.177397068148846,26.5
396,4,211,1.6340173053847136,18.0
397,4,215,15.964217868239606,26.5
398,4,216,14.85323815394599,26.5
399,4,217,918.5481093617067,26.5
400,4,219,20.874255954032332,26.5
401,4,220,18.328786977558913,18.0
402,4,221,13.477973717295304,19.0
403,4,222,12.040454603712476,26.5
404,4,223,8.42828495683846,18.0
